  37  99   821.3340    0.1120 1  62
  38  75   622.2382    0.2200 1  37
  38  76   637.9386    0.0344 1  38
  38  77   649.5657    0.0079 1  39
  38  78   663.0074    0.0075 1  40
  38  79   673.3818    0.0084 1  41
  38  80   686.2877    0.0034 1  42
  38  81   695.5756    0.0032 1  43
  38  82   708.1288    0.0060 1  44
  38  83   716.9878    0.0068 1  45
  38  84   728.9108    0.0013 1  46
  38  85   737.4360    0.0028 1  47
  38  86   748.9273    0.0011 1  48
  38  87   757.3556    0.0010 1  49
  38  88   768.4681    0.0011 1  50
  38  89   774.8268    0.0011 1  51
  38  90   782.6388    0.0028 1  52
  38  91   788.4135    0.0058 1  53
  38  92   795.6995    0.0034 1  54
  38  93   800.9894    0.0075 1  55
  38  94   807.8178    0.0071 1  56
  38  95   812.1699    0.0060 1  57
  38  96   818.0503    0.0088 1  58
  38  97   821.7802    0.0096 1  59
  38  98   827.6965    0.0096 1  60
  38  99   831.8608    0.0073 1  61
  38 100   837.2360    0.0096 1  62
  38 101   841.0391    0.0804 1  63
  39  79   665.4794    0.4501 1  40
  39  80   676.3421    0.0064 1  41
  39  81   688.9783    0.0056 1  42
  39  82   699.4008    0.0057 1  43
  39  83   711.6136    0.0187 1  44
  39  84   721.3737    0.0045 1  45
  39  85   733.3926    0.0190 1  46
  39  86   742.9050    0.0142 1  47
  39  87   754.7114    0.0016 1  48
  39  88   764.0632    0.0018 1  49
  39  89   775.5454    0.0025 1  50
  39  90   782.4024    0.0024 1  51
  39  91   790.3314    0.0028 1  52
  39  92   796.8677    0.0093 1  53
  39  93   804.3495    0.0106 1  54
  39  94   810.5453    0.0071 1  55
  39  95   817.4767    0.0069 1  56
  39  96   822.6797    0.0065 1  57
  39  97   828.5366    0.0072 1  58
  39  98   832.7813    0.0083 1  59
  39  99   839.2077    0.0070 1  60
  39 100   843.9568    0.0115 1  61
  39 101   849.7618    0.0075 1  62
  39 103   859.3347    0.0988 1  64
  40  80   669.9286    1.4904 1  40
  40  81   680.8796    0.1647 1  41
  40  83   704.5373    0.0066 1  43
  40  84   718.1187    0.0057 1  44
  40  85   727.9434    0.0066 1  45
  40  86   740.8085    0.0036 1  46
  40  87   750.2587    0.0044 1  47
  40  88   762.6115    0.0056 1  48
  40  89   771.9301    0.0036 1  49
  40  90   783.8989    0.0023 1  50
  40  91   791.0933    0.0022 1  51
  40  92   799.7281    0.0022 1  52
  40  93   806.4625    0.0022 1  53
  40  94   814.6825    0.0023 1  54
  40  95   821.1445    0.0022 1  55
  40  96   829.0003    0.0025 1  56
  40  97   834.5755    0.0025 1  57
  40  98   840.9909    0.0088 1  58
  40  99   845.3931    0.0106 1  59
  40 100   852.2223    0.0084 1  60
  40 101   857.0825    0.0086 1  61
  40 102   863.5759    0.0095 1  62
  40 103   867.8766    0.0096 1  63
  40 104   873.8566    0.0097 1  64
  40 105   877.6688    0.0124 1  65
  41  83   696.2550    0.3000 1  42
  41  85   720.2654    0.0041 1  44
  41  86   731.1912    0.0057 1  45
  41  87   744.0030    0.0070 1  46
  41  88   754.3752    0.0518 1  47
  41  89   766.9214    0.0268 1  48
  41  90   777.0055    0.0046 1  49
  41  91   789.0530    0.0037 1  50
  41  92   796.9398    0.0027 1  51
  41  93   805.7705    0.0022 1  52
  41  94   812.9981    0.0023 1  53
  41  95   821.4853    0.0015 1  54
  41  96   828.3784    0.0036 1  55
  41  97   836.4518    0.0022 1  56
  41  98   842.4463    0.0056 1  57
  41  99   849.3143    0.0122 1  58
  41 100   854.8621    0.0084 1  59
  41 101   862.0132    0.0042 1  60
  41 102   867.5122    0.0036 1  61
  41 103   874.2930    0.0044 1  62
  41 104   879.1693    0.0036 1  63
